Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
GILB,Global IME Laghubitta Bittiya Sanstha,Microcredit,"1,120.00",45.16,24.8,5.22,7.08,21.03,2.6,+107.35%,+50.08%,+38.23%,+8.83%,-0.52%,+2.47%,-0.74%,20,Strong
NTC,Nepal Doorsanchar Company,Telecom,892.00,46.47,19.2,1.62,0.36,8.44,6.18,+50.63%,+50.07%,+0.42%,+2.11%,+1.91%,+4.55%,+5.51%,20,Strong
NBL,Nepal Bank,Commercial Banks,266.80,25.34,10.53,0.98,10.25,9.29,0.83,+114.05%,+56.08%,+42.70%,+3.95%,-4.68%,+8.65%,+7.76%,19,Good
SWBBL,Swabalamban Bikas Bank,Microcredit,740.00,24.59,30.1,3.27,5.71,10.85,1.62,+86.95%,+49.61%,+24.63%,+3.69%,+1.07%,+1.79%,-0.16%,19,Good
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,907.00,33.41,27.15,3.75,5.53,13.81,2.11,+57.35%,+51.24%,+4.90%,+3.54%,+0.77%,-0.02%,+22.93%,18,Good
DDBL,Deprosc Laghubitta,Microcredit,844.50,44.13,19.14,3.98,5.63,20.79,3.13,+53.56%,+48.67%,-6.93%,-4.01%,+0.69%,+1.19%,+19.28%,18,Good
GUFL,Gurkhas Finance Ltd.,Finance,520.10,19.89,26.15,3.29,6.85,12.6,1.6,+109.99%,+64.08%,+39.99%,+6.21%,-2.43%,-5.47%,-4.61%,18,Good
HDL,Himalayan Distillery,Manufacturing And Processing,"1,158.00",30.78,37.63,8.79,0.2,23.35,19.47,+89.87%,+75.42%,+26.58%,+9.04%,-0.93%,+1.71%,+13.27%,18,Good
KBL,Kumari Bank,Commercial Banks,218.00,21.24,10.26,1.38,10.41,13.4,1.17,+53.60%,+42.19%,+2.40%,+4.87%,-4.80%,+15.96%,+10.51%,18,Good
LBBL,Lumbini Bikas Bank Ltd.,Development Bank,485.00,20.67,23.47,2.36,7.88,10.06,1.13,+96.82%,+46.49%,+31.21%,+4.27%,-2.24%,+1.68%,+5.22%,18,Good
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microcredit,"1,533.00",65.09,23.55,5.33,4.01,22.64,4.52,+52.57%,+46.97%,+1.71%,+6.50%,-2.27%,+1.65%,-5.83%,18,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,120.00",51.59,21.71,4.32,7.0,19.88,2.48,+60.53%,+49.38%,+7.02%,+5.76%,-2.71%,+0.09%,+5.85%,18,Good
PCBL,Prime Commercial Bank,Commercial Banks,239.50,19.66,12.18,1.4,8.07,11.48,1.27,+51.19%,+45.29%,+0.79%,+3.31%,-2.89%,+1.02%,+8.42%,18,Good
SCB,Standard Chartered Bank,Commercial Banks,649.00,27.64,23.48,2.97,6.99,12.64,1.58,+51.58%,+47.48%,+1.05%,+3.61%,-0.61%,+1.47%,+10.34%,18,Good
SHINE,Shine Resunga Development Bank,Development Bank,408.30,20.93,19.51,2.67,10.0,13.68,1.24,+95.01%,+51.97%,+30.01%,+4.40%,-0.36%,+0.86%,+5.01%,18,Good
EBL,Everest Bank,Commercial Banks,703.90,32.35,21.76,2.88,10.3,13.24,1.17,+57.26%,+47.54%,+4.84%,+3.93%,+1.15%,+5.94%,+23.89%,17,Good
GBBL,Garima Bikas Bank,Development Bank,415.00,23.21,17.88,2.48,9.73,13.85,1.29,+65.04%,+45.62%,+10.03%,+5.00%,+1.24%,+4.84%,+12.81%,17,Good
GBLBS,Grameen Bikas Laghubitta,Microcredit,773.00,40.0,19.33,2.62,4.49,13.55,2.47,+37.14%,+50.62%,-8.57%,+6.15%,-1.78%,+1.45%,-1.04%,17,Good
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microcredit,890.00,31.68,28.09,5.0,8.47,17.8,1.88,+81.16%,+54.30%,+20.77%,+6.37%,-2.26%,-0.11%,+3.10%,17,Good
JBBL,Jyoti Bikas Bank,Development Bank,354.10,19.09,18.55,2.17,9.63,11.68,1.1,+102.22%,+49.45%,+34.81%,+5.38%,-3.50%,+6.23%,+6.32%,17,Good
MSLB,Mahuli Samudayik Laghubitta Sanstha Ltd.,Microcredit,"1,230.00",42.26,29.11,5.85,6.93,20.09,2.53,+75.39%,+56.19%,+16.93%,+6.86%,-4.61%,-5.32%,+10.20%,17,Good
